model_ID,brand_ID,brand_Name,priceUSA
0606,6,Escalade IQ,6122868.208125
0607,6,Escalade-V,8047541.908125
0608,6,LYRIQ,2834648.10375
0609,6,LYRIQ-V,3778115.60375
0610,6,OPTIQ,2565759.86625
0611,6,VISTIQ,3730942.22875
0612,6,XT4,1980810.01625
0613,6,XT5,2160068.84125
0614,6,XT6,2391218.37875
0701,7,Blazer,1749896.345625
0702,7,Blazer EV,2174456.720625
0703,7,Colorado,1627245.570625
0704,7,Corvette,3396247.133125
0705,7,Corvette E-Ray,5132227.333125
0706,7,Equinox,1438552.070625
0707,7,Equinox EV,1721592.320625
0708,7,Express Cargo Van,2065957.958125
0709,7,Express Passenger,2327770.189375
0710,7,Malibu,1273445.258125
0711,7,Silverado 1500,1863112.445625
0712,7,Silverado 2500HD,2240499.445625
0713,7,Silverado 3500HD,2297107.495625
0714,7,Silverado EV,2589582.420625
0715,7,Suburban,3113206.883125
0716,7,Tahoe,2971686.758125
0717,7,Trailblazer,1179098.508125
0718,7,Traverse,2014067.245625
0719,7,Traverse Limited,1694231.763125
0720,7,Trax,1084751.758125
0801,8,Pacifica,2152992.835
0802,8,Voyager,2004396.70375
0901,9,Charger Daytona,2905408.16625
0902,9,Durango,1933636.64125
0903,9,Hornet,1556485.508125
1001,10,500e,1608376.220625
1101,11,Bronco,1980810.01625
1102,11,Bronco Sport,1589271.00375
1103,11,Edge,1885048.065
1104,11,Escape,1462846.35875
1105,11,E-Transit Cargo Van,2447826.42875
1106,11,Expedition,2718365.734375
1107,11,Explorer,1969252.539375
1108,11,F-150,1889057.801875
1109,11,F-150 Lightning,3110612.3475
1110,11,Maverick,1407653.51
1111,11,Mustang,1599885.013125
1112,11,Mustang Mach-E,1886463.26625
1113,11,Ranger,1662625.601875
1114,11,Super Duty F-250,2235782.108125
1115,11,Super Duty F-350,2338148.331875
1116,11,Super Duty F-450,2927107.91875
1117,11,Transit Cargo Van,2334846.195625
1118,11,Transit Passenger Wagon,2759406.570625
1201,12,Electrified G80,3818684.70625
1202,12,Electrified GV70,3107546.078125
1203,12,G70,2115490.001875
1204,12,G80,2827807.964375
1205,12,G90,4443496.058125
1206,12,GV60,2548305.7175
1207,12,GV70,2381311.97
1208,12,GV80,2792427.933125
1209,12,GV80 Coupe,3931664.939375
1301,13,Acadia,2150870.033125
1302,13,Canyon,1933872.508125
1303,13,HUMMER EV Pickup,4672286.926875
1304,13,HUMMER EV SUV,4672286.926875
1305,13,Savana Cargo Van,2065957.958125
1306,13,Savana Passenger,2327770.189375
1307,13,Sierra 1500,1929155.170625
1308,13,Sierra 2500HD,2287672.820625
1309,13,Sierra 3500HD,2344280.870625
1310,13,Sierra EV,3042446.820625
1311,13,Terrain,1504594.795625
1312,13,Yukon,3386812.458125
1401,14,Accord,1391142.82875
1402,14,Civic,1216601.34125
1403,14,CR-V,1527002.14875
1404,14,HR-V,1304343.81875
1405,14,Odyssey,2089308.77875
1406,14,Passport,2181532.726875
1407,14,Pilot,1966893.870625
1408,14,Prologue,2306542.170625
1409,14,Ridgeline,1964535.201875
1501,15,Elantra,1102441.77375
1502,15,IONIQ 5,2085063.175
1503,15,IONIQ 6,1844243.095625
1504,15,IONIQ 9,2856583.723125
1505,15,Kona,1271322.45625
1506,15,Kona Electric,1626066.23625
1507,15,Palisade,1935759.443125
1508,15,Santa Cruz,1467091.9625
1509,15,Santa Fe,1717110.85
1510,15,Sonata,1327694.639375
1511,15,Tucson,1424635.925
1512,15,Venue,1023426.370625
1601,16,Grenadier Quartermaster,4056910.25
1602,16,Grenadier Station Wagon,3424787.025
1701,17,QX50,2092139.18125
1702,17,QX55,2429428.8125
1703,17,QX60,2504198.611875
1704,17,QX80,4054079.8475
1801,18,F-PACE,2753745.765625
1901,19,Compass,1556013.774375
1902,19,Gladiator,1891416.470625
1903,19,Grand Cherokee,1815703.20375
1904,19,Grand Wagoneer,4431702.714375
1905,19,Wagoneer,2926636.185
1906,19,Wagoneer S,3169814.933125
1907,19,Wrangler,1608140.35375
2001,20,Carnival,1815467.336875
2002,20,EV6,2094261.983125
2003,20,EV9,2665059.820625
2004,20,K4,1093714.699375
